trial_number,batch_size,learning_rate,seq_len,dropout_rate,hidden_dim,num_layers,cnn_channels1,cnn_channels2,cnn_kernel_size,tf_heads,final_acc,final_loss,precision,recall,f1_score,training_time_s
21,8,0.001,20,0.0,,,16,32,3,,0.9771505376344086,0.05278182965589921,0.9744359446148889,0.9738211866646589,0.9739668435013262,1340.09
22,8,0.001,20,0.0,,,16,32,3,,0.9825268817204301,0.04448358217884843,0.9682990683238624,0.9655701235884103,0.9658760036106229,1338.2
23,8,0.001,20,0.0,,,16,32,3,,0.9694220430107527,0.06542489539863085,0.9703319420693362,0.9698565351470606,0.9699782536218706,1340.86
24,8,0.001,20,0.0,,,16,32,3,,0.9737903225806451,0.05713261787866501,0.9719000546647231,0.9712717304429137,0.9714177423172079,1337.78
25,8,0.001,20,0.0,,,16,32,3,,0.9657258064516129,0.07200712569924143,0.9706154422742362,0.969307309684046,0.969528031661852,1332.82
26,8,0.001,20,0.0,,,16,32,3,,0.9751344086021505,0.05684219635573616,0.9666102410585293,0.9665220790604547,0.9665571067582127,1335.86
27,8,0.001,20,0.0,,,16,32,3,,0.9751344086021505,0.0643679769915485,0.9685071388644138,0.9682593940115233,0.9683372178516815,1340.77
28,8,0.001,10,0.0,,,16,32,3,,0.9551539491298527,0.09670096713718304,0.9572654569111659,0.9569220506406584,0.9570144588521972,1318.78
29,8,0.0001,5,0.0,,,16,32,3,,0.9305277221108884,0.1503949827932619,0.932167886497545,0.9298097810846684,0.9299672852149867,1310.69
30,8,0.01,10,0.0,,,16,32,3,,0.9447791164658634,0.12776748073653862,0.9441364539601312,0.9413651493311929,0.941578616263856,1335.83
31,8,0.001,20,0.0,,,16,32,3,,0.96875,0.06279098317889013,0.9703987740347536,0.9689440047435758,0.9691769512125512,1342.38
32,8,0.001,20,0.0,,,16,32,3,,0.9603494623655914,0.0815565518708054,0.9681941674884376,0.9679038113120383,0.9679907387465368,1337.23
33,8,0.001,20,0.0,,,16,32,3,,0.9771505376344086,0.06039391484920746,0.9712608254314757,0.9703245635173627,0.9705089465306945,1349.26
34,8,0.001,20,0.0,,,16,32,3,,0.9680779569892473,0.06561099634070905,0.9688812153244172,0.9677494575290477,0.967951482596981,1338.3
35,8,0.01,20,0.0,,,16,32,3,,0.9489247311827957,0.11506241727243594,0.9522731504831855,0.9499018633742997,0.9501414547409587,1341.69
36,8,0.001,20,0.0,,,16,32,3,,0.9744623655913979,0.0640751324812265,0.9697975370676605,0.9690469679567124,0.9692078862847351,1332.33
37,8,0.001,15,0.0,,,16,32,3,,0.9691482226693494,0.06593426043607056,0.963715772000314,0.9630887037490811,0.9632279328584072,1319.23
38,8,0.01,10,0.0,,,16,32,3,,0.9451137884872824,0.12229177695380417,0.9430041014930701,0.9385256526852275,0.9388226731136331,1337.4
39,16,0.001,20,0.0,,,16,32,3,,0.9670698924731183,0.07692252542049222,0.9694115673816457,0.9679833806774844,0.9682124685292086,843.17
